1 0
0.998027 0.0627905
0.992115 0.125333
0.982287 0.187381
0.968583 0.24869
0.951057 0.309017
0.929776 0.368125
0.904827 0.425779
0.876307 0.481754
0.844328 0.535827
0.809017 0.587785
0.770513 0.637424
0.728969 0.684547
0.684547 0.728969
0.637424 0.770513
0.587785 0.809017
0.535827 0.844328
0.481754 0.876307
0.425779 0.904827
0.368125 0.929776
0.309017 0.951057
0.24869 0.968583
0.187381 0.982287
0.125333 0.992115
0.0627905 0.998027
-1.03412e-13 1
-0.0627905 0.998027
-0.125333 0.992115
-0.187381 0.982287
-0.24869 0.968583
-0.309017 0.951057
-0.368125 0.929776
-0.425779 0.904827
-0.481754 0.876307
-0.535827 0.844328
-0.587785 0.809017
-0.637424 0.770513
-0.684547 0.728969
-0.728969 0.684547
-0.770513 0.637424
-0.809017 0.587785
-0.844328 0.535827
-0.876307 0.481754
-0.904827 0.425779
-0.929776 0.368125
-0.951057 0.309017
-0.968583 0.24869
-0.982287 0.187381
-0.992115 0.125333
-0.998027 0.0627905
-1 -2.06823e-13
-0.998027 -0.0627905
-0.992115 -0.125333
-0.982287 -0.187381
-0.968583 -0.24869
-0.951057 -0.309017
-0.929776 -0.368125
-0.904827 -0.425779
-0.876307 -0.481754
-0.844328 -0.535827
-0.809017 -0.587785
-0.770513 -0.637424
-0.728969 -0.684547
-0.684547 -0.728969
-0.637424 -0.770513
-0.587785 -0.809017
-0.535827 -0.844328
-0.481754 -0.876307
-0.425779 -0.904827
-0.368125 -0.929776
-0.309017 -0.951057
-0.24869 -0.968583
-0.187381 -0.982287
-0.125333 -0.992115
-0.0627905 -0.998027
3.09791e-13 -1
0.0627905 -0.998027
0.125333 -0.992115
0.187381 -0.982287
0.24869 -0.968583
0.309017 -0.951057
0.368125 -0.929776
0.425779 -0.904827
0.481754 -0.876307
0.535827 -0.844328
0.587785 -0.809017
0.637424 -0.770513
0.684547 -0.728969
0.728969 -0.684547
0.770513 -0.637424
0.809017 -0.587785
0.844328 -0.535827
0.876307 -0.481754
0.904827 -0.425779
0.929776 -0.368125
0.951057 -0.309017
0.968583 -0.24869
0.982287 -0.187381
0.992115 -0.125333
0.998027 -0.0627905
1 4.13646e-13
